uri,labels,speechiness,duration (ms)
spotify:track:3v6sBj3swihU8pXQQHhDZo,2,0.0672,195000.0
spotify:track:7KCWmFdw0TzoJbKtqRRzJO,1,0.0285,194641.0
spotify:track:2CY92qejUrhyPUASawNVRr,1,0.0872,217573.0
spotify:track:11BPfwVbB7vok7KfjBeW4k,0,0.0353,443478.0
spotify:track:3yUJKPsjvThlcQWTS9ttYx,1,0.106,225862.0
spotify:track:41MOCUNOgWtaYBFUsGnpZ5,1,0.0367,166920.0
spotify:track:5JP1cMCDxX4k2gwfSgt8Lf,1,0.0596,193133.0
spotify:track:73xsMXuRNB3yqLeNc7NXBq,1,0.0481,253000.0
spotify:track:6TwrBbgTaB5gpl06YQoRKy,0,0.0279,216187.0
spotify:track:5SDEirHg6Y8fCYuKMnAaC5,0,0.0288,232333.0
spotify:track:37tp9qtF4YQF0nvaQ3ryB7,2,0.361,123630.0
spotify:track:5ZWMcomAviWuMGZWbBxmGd,1,0.0497,266413.0
spotify:track:1zDHb1p9J2SUVGqttkIwlW,1,0.193,232500.0
spotify:track:03ibPDUYi7g1vOC9eJGrsy,1,0.0673,228107.0
spotify:track:1Yt78wXs4KUeMrOxZu8dQT,1,0.0721,201927.0
spotify:track:4grBhZ71RTsPWgykqlUBFA,1,0.0431,178640.0
spotify:track:4KSQ9el0QgTKKie5oCtKLe,2,0.0483,180213.0
spotify:track:6P0dI2yAf2cmg4UrCcStwE,2,0.0403,237853.0
spotify:track:24kirWnsEEyGgbl2NuhSVz,1,0.0308,212600.0
spotify:track:2RKmGDTq840oLpKC0WOaCr,1,0.0568,184400.0
spotify:track:4R06uQw0yBQXWmatdIOlch,0,0.0578,270255.0
spotify:track:2G1T3kqYNyhMjXbqZ4e3vX,2,0.0927,203667.0
spotify:track:6t6bOh1jmVcRke7rmzAegb,1,0.0649,205066.0
spotify:track:2r12KCHNv0p7JQJsGt3vYK,2,0.0467,219943.0
spotify:track:4sofJiicQwKsRo3S1vpt39,1,0.0372,144000.0
spotify:track:2dyrLrVopYKGc3H9oOYSmZ,2,0.0685,179032.0
spotify:track:7AxA87dIJ1FF4l1BQ98ZCZ,2,0.3,141171.0
spotify:track:5FDdviWQzhw7NWH2TiDl9d,1,0.0542,169901.0
spotify:track:0kJUHCpOr6CFU15kEKAgVF,0,0.0908,197246.0
spotify:track:5WXSmZUK7MAtkcKoBPFyHm,2,0.0434,180570.0
spotify:track:3oqztHfES8jYMyrxPMzWwc,1,0.0364,195191.0
spotify:track:1zZIVe9x0JhdhpuQjLTjIM,0,0.0309,253869.0
spotify:track:3tzlgaWjqZJX0fq2hiQW62,0,0.0329,266668.0
spotify:track:1i6gUYGzJF7XMukcwSwJ7k,1,0.0439,264596.0
spotify:track:6kjeIqdUFA5p6GCtW8PzF3,2,0.0529,197586.0
spotify:track:6S5mz361HiZquQleGlI3aD,0,0.0304,167893.0
spotify:track:2NEBP8SXEqwZt2PRdPXXuy,1,0.0298,229573.0
spotify:track:2oMfpjxWmnLYcgbqkeAjfp,1,0.0362,216227.0
